file,class,name,verdict,message,errors_in_stacktrace,errors_in_system_err,type,num,test_to_be_run,order
,samples.tests.test_exponential,test_response,Failed,AssertionError,"['        AssertionError if error is found.', 'E           AssertionError', 'svp/api_object.py:19: AssertionError']",,,14,,same
,samples.tests.test_exponential,test_data,Failed,TypeError: object of type &#x27;NoneType&#x27; has no len(),"[""E       TypeError: object of type 'NoneType' has no len()"", 'samples/tests/test_exponential.py:18: TypeError']",,,14,,same
,samples.tests.test_exponential,test_posivite,Failed,TypeError: &#x27;NoneType&#x27; object is not iterable,"[""E       TypeError: 'NoneType' object is not iterable"", 'samples/tests/test_exponential.py:25: TypeError']",,,14,,same
,samples.tests.test_normal,test_response,Failed,AssertionError,"['        AssertionError if error is found.', 'E           AssertionError', 'svp/api_object.py:19: AssertionError']",,,14,,same
,samples.tests.test_normal,test_length,Failed,TypeError: object of type &#x27;NoneType&#x27; has no len(),"[""E       TypeError: object of type 'NoneType' has no len()"", 'samples/tests/test_normal.py:18: TypeError']",,,14,,same
,samples.tests.test_uniform,test_response,Failed,AssertionError,"['        AssertionError if error is found.', 'E           AssertionError', 'svp/api_object.py:19: AssertionError']",,,14,,same
,samples.tests.test_uniform,test_data,Failed,TypeError: object of type &#x27;NoneType&#x27; has no len(),"[""E       TypeError: object of type 'NoneType' has no len()"", 'samples/tests/test_uniform.py:18: TypeError']",,,14,,same
,samples.tests.test_uniform,test_posivite,Failed,TypeError: &#x27;NoneType&#x27; object is not iterable,"[""E       TypeError: 'NoneType' object is not iterable"", 'samples/tests/test_uniform.py:25: TypeError']",,,14,,same
,samples.tests.test_exponential,test_response,Failed,AssertionError,"['        AssertionError if error is found.', 'E           AssertionError', 'svp/api_object.py:19: AssertionError']",,,133,,same
,samples.tests.test_exponential,test_data,Failed,TypeError: object of type &#x27;NoneType&#x27; has no len(),"[""E       TypeError: object of type 'NoneType' has no len()"", 'samples/tests/test_exponential.py:18: TypeError']",,,133,,same
,samples.tests.test_exponential,test_posivite,Failed,TypeError: &#x27;NoneType&#x27; object is not iterable,"[""E       TypeError: 'NoneType' object is not iterable"", 'samples/tests/test_exponential.py:25: TypeError']",,,133,,same
,samples.tests.test_normal,test_response,Failed,AssertionError,"['        AssertionError if error is found.', 'E           AssertionError', 'svp/api_object.py:19: AssertionError']",,,133,,same
,samples.tests.test_normal,test_length,Failed,TypeError: object of type &#x27;NoneType&#x27; has no len(),"[""E       TypeError: object of type 'NoneType' has no len()"", 'samples/tests/test_normal.py:18: TypeError']",,,133,,same
,samples.tests.test_uniform,test_response,Failed,AssertionError,"['        AssertionError if error is found.', 'E           AssertionError', 'svp/api_object.py:19: AssertionError']",,,133,,same
,samples.tests.test_uniform,test_data,Failed,TypeError: object of type &#x27;NoneType&#x27; has no len(),"[""E       TypeError: object of type 'NoneType' has no len()"", 'samples/tests/test_uniform.py:18: TypeError']",,,133,,same
,samples.tests.test_uniform,test_posivite,Failed,TypeError: &#x27;NoneType&#x27; object is not iterable,"[""E       TypeError: 'NoneType' object is not iterable"", 'samples/tests/test_uniform.py:25: TypeError']",,,133,,same
,samples.tests.test_exponential,test_response,Failed,AssertionError,"['        AssertionError if error is found.', 'E           AssertionError', 'svp/api_object.py:19: AssertionError']",,,176,,same
,samples.tests.test_exponential,test_data,Failed,"requests.exceptions.ChunkedEncodingError: (&#x27;Connection broken: IncompleteRead(0 bytes read, 563 more expected)&#x27;, IncompleteRead(0 bytes read, 563 more expected))","['    def _error_catcher(self) -> typing.Generator[None, None, None]:', '        Catch low-level python exceptions, instead re-raising urllib3', '        variants, so that low-level exceptions are not leaked in the', '        with self._error_catcher():', 'E                   urllib3.exceptions.IncompleteRead: IncompleteRead(0 bytes read, 563 more expected)', 'The above exception was the direct cause of the following exception:', '>       with self._error_catcher():', ""typ = <class 'urllib3.exceptions.IncompleteRead'>"", '                raise RuntimeError(""generator didn\'t stop"")', '                # tell if we get the same exception back', '    def _error_catcher(self) -> typing.Generator[None, None, None]:', '        Catch low-level python exceptions, instead re-raising urllib3', '        variants, so that low-level exceptions are not leaked in the', ""                # FIXME: Ideally we'd like to include the url in the ReadTimeoutError but"", '                raise ReadTimeoutError(self._pool, None, ""Read timed out."") from e  # type: ignore[arg-type]', '            except BaseSSLError as e:', '                # FIXME: Is there a better way to differentiate between SSLErrors?', '                    # SSL errors related to framing/MAC get wrapped and reraised here', '                    raise SSLError(e) from e', '                raise ReadTimeoutError(self._pool, None, ""Read timed out."") from e  # type: ignore[arg-type]', '>               raise ProtocolError(arg, e) from e', ""E               urllib3.exceptions.ProtocolError: ('Connection broken: IncompleteRead(0 bytes read, 563 more expected)', IncompleteRead(0 bytes read, 563 more expected))"", '../flapy_virtual_env/lib/python3.10/site-packages/urllib3/response.py:772: ProtocolError', 'During handling of the above exception, another exception occurred:', '            except ProtocolError as e:', '>               raise ChunkedEncodingError(e)', ""E               requests.exceptions.ChunkedEncodingError: ('Connection broken: IncompleteRead(0 bytes read, 563 more expected)', IncompleteRead(0 bytes read, 563 more expected))"", '../flapy_virtual_env/lib/python3.10/site-packages/requests/models.py:822: ChunkedEncodingError']",,,176,,same
,samples.tests.test_exponential,test_posivite,Failed,TypeError: &#x27;NoneType&#x27; object is not iterable,"[""E       TypeError: 'NoneType' object is not iterable"", 'samples/tests/test_exponential.py:25: TypeError']",,,176,,same
,samples.tests.test_normal,test_response,Failed,AssertionError,"['        AssertionError if error is found.', 'E           AssertionError', 'svp/api_object.py:19: AssertionError']",,,176,,same
,samples.tests.test_normal,test_length,Failed,TypeError: object of type &#x27;NoneType&#x27; has no len(),"[""E       TypeError: object of type 'NoneType' has no len()"", 'samples/tests/test_normal.py:18: TypeError']",,,176,,same
,samples.tests.test_uniform,test_response,Failed,AssertionError,"['        AssertionError if error is found.', 'E           AssertionError', 'svp/api_object.py:19: AssertionError']",,,176,,same
,samples.tests.test_uniform,test_data,Failed,TypeError: object of type &#x27;NoneType&#x27; has no len(),"[""E       TypeError: object of type 'NoneType' has no len()"", 'samples/tests/test_uniform.py:18: TypeError']",,,176,,same
,samples.tests.test_uniform,test_posivite,Failed,TypeError: &#x27;NoneType&#x27; object is not iterable,"[""E       TypeError: 'NoneType' object is not iterable"", 'samples/tests/test_uniform.py:25: TypeError']",,,176,,same
,samples.tests.test_exponential,test_response,Failed,AssertionError,"['        AssertionError if error is found.', 'E           AssertionError', 'svp/api_object.py:19: AssertionError']",,,159,,same
,samples.tests.test_exponential,test_data,Failed,TypeError: object of type &#x27;NoneType&#x27; has no len(),"[""E       TypeError: object of type 'NoneType' has no len()"", 'samples/tests/test_exponential.py:18: TypeError']",,,159,,same
,samples.tests.test_exponential,test_posivite,Failed,TypeError: &#x27;NoneType&#x27; object is not iterable,"[""E       TypeError: 'NoneType' object is not iterable"", 'samples/tests/test_exponential.py:25: TypeError']",,,159,,same
,samples.tests.test_normal,test_response,Failed,AssertionError,"['        AssertionError if error is found.', 'E           AssertionError', 'svp/api_object.py:19: AssertionError']",,,159,,same
,samples.tests.test_normal,test_length,Failed,TypeError: object of type &#x27;NoneType&#x27; has no len(),"[""E       TypeError: object of type 'NoneType' has no len()"", 'samples/tests/test_normal.py:18: TypeError']",,,159,,same
,samples.tests.test_uniform,test_response,Failed,AssertionError,"['        AssertionError if error is found.', 'E           AssertionError', 'svp/api_object.py:19: AssertionError']",,,159,,same
,samples.tests.test_uniform,test_data,Failed,TypeError: object of type &#x27;NoneType&#x27; has no len(),"[""E       TypeError: object of type 'NoneType' has no len()"", 'samples/tests/test_uniform.py:18: TypeError']",,,159,,same
,samples.tests.test_uniform,test_posivite,Failed,TypeError: &#x27;NoneType&#x27; object is not iterable,"[""E       TypeError: 'NoneType' object is not iterable"", 'samples/tests/test_uniform.py:25: TypeError']",,,159,,same
,samples.tests.test_exponential,test_response,Failed,AssertionError,"['        AssertionError if error is found.', 'E           AssertionError', 'svp/api_object.py:19: AssertionError']",,,64,,same
,samples.tests.test_exponential,test_data,Failed,TypeError: object of type &#x27;NoneType&#x27; has no len(),"[""E       TypeError: object of type 'NoneType' has no len()"", 'samples/tests/test_exponential.py:18: TypeError']",,,64,,same
,samples.tests.test_exponential,test_posivite,Failed,TypeError: &#x27;NoneType&#x27; object is not iterable,"[""E       TypeError: 'NoneType' object is not iterable"", 'samples/tests/test_exponential.py:25: TypeError']",,,64,,same
,samples.tests.test_normal,test_response,Failed,AssertionError,"['        AssertionError if error is found.', 'E           AssertionError', 'svp/api_object.py:19: AssertionError']",,,64,,same
,samples.tests.test_normal,test_length,Failed,TypeError: object of type &#x27;NoneType&#x27; has no len(),"[""E       TypeError: object of type 'NoneType' has no len()"", 'samples/tests/test_normal.py:18: TypeError']",,,64,,same
,samples.tests.test_uniform,test_response,Failed,AssertionError,"['        AssertionError if error is found.', 'E           AssertionError', 'svp/api_object.py:19: AssertionError']",,,64,,same
,samples.tests.test_uniform,test_data,Failed,TypeError: object of type &#x27;NoneType&#x27; has no len(),"[""E       TypeError: object of type 'NoneType' has no len()"", 'samples/tests/test_uniform.py:18: TypeError']",,,64,,same
,samples.tests.test_uniform,test_posivite,Failed,TypeError: &#x27;NoneType&#x27; object is not iterable,"[""E       TypeError: 'NoneType' object is not iterable"", 'samples/tests/test_uniform.py:25: TypeError']",,,64,,same
,samples.tests.test_exponential,test_response,Failed,AssertionError,"['        AssertionError if error is found.', 'E           AssertionError', 'svp/api_object.py:19: AssertionError']",,,7,,same
,samples.tests.test_exponential,test_data,Failed,TypeError: object of type &#x27;NoneType&#x27; has no len(),"[""E       TypeError: object of type 'NoneType' has no len()"", 'samples/tests/test_exponential.py:18: TypeError']",,,7,,same
,samples.tests.test_exponential,test_posivite,Failed,TypeError: &#x27;NoneType&#x27; object is not iterable,"[""E       TypeError: 'NoneType' object is not iterable"", 'samples/tests/test_exponential.py:25: TypeError']",,,7,,same
,samples.tests.test_normal,test_response,Failed,AssertionError,"['        AssertionError if error is found.', 'E           AssertionError', 'svp/api_object.py:19: AssertionError']",,,7,,same
,samples.tests.test_normal,test_length,Failed,TypeError: object of type &#x27;NoneType&#x27; has no len(),"[""E       TypeError: object of type 'NoneType' has no len()"", 'samples/tests/test_normal.py:18: TypeError']",,,7,,same
,samples.tests.test_uniform,test_response,Failed,AssertionError,"['        AssertionError if error is found.', 'E           AssertionError', 'svp/api_object.py:19: AssertionError']",,,7,,same
,samples.tests.test_uniform,test_data,Failed,TypeError: object of type &#x27;NoneType&#x27; has no len(),"[""E       TypeError: object of type 'NoneType' has no len()"", 'samples/tests/test_uniform.py:18: TypeError']",,,7,,same
,samples.tests.test_uniform,test_posivite,Failed,TypeError: &#x27;NoneType&#x27; object is not iterable,"[""E       TypeError: 'NoneType' object is not iterable"", 'samples/tests/test_uniform.py:25: TypeError']",,,7,,same
,samples.tests.test_exponential,test_response,Failed,AssertionError,"['        AssertionError if error is found.', 'E           AssertionError', 'svp/api_object.py:19: AssertionError']",,,5,,same
