file,class,name,verdict,message,errors_in_stacktrace,errors_in_system_err,type,num,test_to_be_run,order
,ice.tests.test_alignment,test_windowed_alignment,Failed,AttributeError: &#x27;MultipleSeqAlignment&#x27; object has no attribute &#x27;format&#x27;,"[""E       AttributeError: 'MultipleSeqAlignment' object has no attribute 'format'"", 'ice/classes/pair_alignment.py:80: AttributeError']",,,125,,same
,ice.tests.test_alignment,test_coord_conversion,Failed,AttributeError: &#x27;MultipleSeqAlignment&#x27; object has no attribute &#x27;format&#x27;,"[""E       AttributeError: 'MultipleSeqAlignment' object has no attribute 'format'"", 'ice/classes/pair_alignment.py:80: AttributeError']",,,125,,same
,ice.tests.test_alignment,test_no_aln_possible,Passed,NO MESSAGE,,,,125,,same
,ice.tests.test_alignment,test_no_aln_done,Passed,NO MESSAGE,,,,125,,same
,ice.tests.test_alignment,test_all_alignment,Failed,AttributeError: &#x27;MultipleSeqAlignment&#x27; object has no attribute &#x27;format&#x27;,"[""E       AttributeError: 'MultipleSeqAlignment' object has no attribute 'format'"", 'ice/classes/pair_alignment.py:80: AttributeError']",,,125,,same
,ice.tests.test_alignment,test_aln_str,Failed,AttributeError: &#x27;MultipleSeqAlignment&#x27; object has no attribute &#x27;format&#x27;,"[""E       AttributeError: 'MultipleSeqAlignment' object has no attribute 'format'"", 'ice/classes/pair_alignment.py:80: AttributeError']",,,125,,same
,ice.tests.test_alignment,test_aln_data,Failed,AttributeError: &#x27;MultipleSeqAlignment&#x27; object has no attribute &#x27;format&#x27;,"[""E       AttributeError: 'MultipleSeqAlignment' object has no attribute 'format'"", 'ice/classes/pair_alignment.py:80: AttributeError']",,,125,,same
,ice.tests.test_alignment,test_aln_shorter_sample,Failed,AttributeError: &#x27;MultipleSeqAlignment&#x27; object has no attribute &#x27;format&#x27;,"[""E       AttributeError: 'MultipleSeqAlignment' object has no attribute 'format'"", 'ice/classes/pair_alignment.py:80: AttributeError']",,,125,,same
,ice.tests.test_alignment,test_no_aln,Failed,AttributeError: &#x27;MultipleSeqAlignment&#x27; object has no attribute &#x27;format&#x27;,"[""E       AttributeError: 'MultipleSeqAlignment' object has no attribute 'format'"", 'ice/classes/pair_alignment.py:80: AttributeError']",,,125,,same
,ice.tests.test_alignment,test_donor_alignment_hdr_indel_size,Error,failed on setup with &quot;AttributeError: &#x27;MultipleSeqAlignment&#x27; object has no attribute &#x27;format&#x27;&quot;,"[""E       AttributeError: 'MultipleSeqAlignment' object has no attribute 'format'"", 'ice/classes/pair_alignment.py:80: AttributeError']",,,125,,same
,ice.tests.test_analysis,test_high_quality_sample,Failed,"assert None == 77
  +None
  -77",['ice/tests/test_analysis.py:29: AssertionError'],,,125,,same
,ice.tests.test_analysis,test_lowercase_guide,Failed,"assert None == 77
  +None
  -77",['ice/tests/test_analysis.py:51: AssertionError'],,,125,,same
,ice.tests.test_analysis,test_low_quality_control,Failed,assert &#x27;Low quality control trace&#x27; in &quot;&#x27;MultipleSeqAlignment&#x27; object has no attribute &#x27;format&#x27;&quot;,['ice/tests/test_analysis.py:67: AssertionError'],,,125,,same
,ice.tests.test_analysis,test_low_quality_control_fail,Passed,NO MESSAGE,,,,125,,same
,ice.tests.test_analysis,test_sanger_analysis_bad_path,Passed,NO MESSAGE,,,,125,,same
,ice.tests.test_analysis,test_low_quality_sample,Passed,NO MESSAGE,,,,125,,same
,ice.tests.test_analysis,test_bad_paths,Passed,NO MESSAGE,,,,125,,same
,ice.tests.test_analysis,test_alignment_fail,Failed,assert &#x27;No alignment found between control and edited sample&#x27; in &quot;&#x27;MultipleSeqAlignment&#x27; object has no attribute &#x27;format&#x27;&quot;,"['E           AssertionError: assert False', 'ice/tests/test_analysis.py:156: AssertionError', 'During handling of the above exception, another exception occurred:', '        except Exception as e:', 'ice/tests/test_analysis.py:161: AssertionError']",,,125,,same
,ice.tests.test_analysis,test_sequence_not_found,Passed,NO MESSAGE,,,,125,,same
,ice.tests.test_analysis,test_donor_example,Failed,"assert None == 33
  +None
  -33",['ice/tests/test_analysis.py:205: AssertionError'],,,125,,same
,ice.tests.test_analysis,test_donor_substitution_example,Failed,"assert None == 44
  +None
  -44",['ice/tests/test_analysis.py:227: AssertionError'],,,125,,same
