file,class,name,verdict,message,errors_in_stacktrace,errors_in_system_err,type,num,test_to_be_run,order
,tests.test_cli.TestCLI,test_cli_no_options,Passed,NO MESSAGE,,,,121,,same
,tests.test_cli.TestCLI,test_cli_with_version_option,Passed,NO MESSAGE,,,,121,,same
,tests.test_cli.TestCLI,test_cli_with_help_option,Passed,NO MESSAGE,,,,121,,same
,tests.test_cli.TestInstall,test_install,Failed,"AssertionError: assert &#x27;Installing pre-commit hook...&#x27; in &#x27;&#x27;
 +  where &#x27;&#x27; = &lt;Result CalledProcessError(1, &#x27;which therapist&#x27;)&gt;.output","[""E       AssertionError: assert 'Installing pre-commit hook...' in ''"", ""E        +  where '' = <Result CalledProcessError(1, 'which therapist')>.output"", 'tests/test_cli.py:33: AssertionError']",,,121,,same
,tests.test_cli.TestInstall,test_outside_repo,Failed,"AssertionError: assert &#x27;Not a git repository (or any of the parent directories)&#x27; in &#x27;&#x27;
 +  where &#x27;&#x27; = &lt;Result CalledProcessError(1, &#x27;which therapist&#x27;)&gt;.output","[""E       AssertionError: assert 'Not a git repository (or any of the parent directories)' in ''"", ""E        +  where '' = <Result CalledProcessError(1, 'which therapist')>.output"", 'tests/test_cli.py:41: AssertionError']",,,121,,same
,tests.test_cli.TestInstall,test_try_reinstall,Failed,"AssertionError: assert False
 +  where False = &lt;bound method Project.exists of &lt;tests.Project object at 0x7f78184957b0&gt;&gt;(&#x27;.git/hooks/pre-commit&#x27;)
 +    where &lt;bound method Project.exists of &lt;tests.Project object at 0x7f78184957b0&gt;&gt; = &lt;tests.Project object at 0x7f78184957b0&gt;.exists","['E           AssertionError: assert False', '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_cli.py:48: AssertionError']",,,121,,same
,tests.test_cli.TestInstall,test_reinstall_with_fix,Failed,"AssertionError: assert False
 +  where False = &lt;bound method Project.exists of &lt;tests.Project object at 0x7f7817e69ae0&gt;&gt;(&#x27;.git/hooks/pre-commit&#x27;)
 +    where &lt;bound method Project.exists of &lt;tests.Project object at 0x7f7817e69ae0&gt;&gt; = &lt;tests.Project object at 0x7f7817e69ae0&gt;.exists","['E           AssertionError: assert False', '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_cli.py:58: AssertionError']",,,121,,same
,tests.test_cli.TestInstall,test_update_outdated,Failed,"AssertionError: assert False
 +  where False = &lt;bound method Project.exists of &lt;tests.Project object at 0x7f7818410d30&gt;&gt;(&#x27;.git/hooks/pre-commit&#x27;)
 +    where &lt;bound method Project.exists of &lt;tests.Project object at 0x7f7818410d30&gt;&gt; = &lt;tests.Project object at 0x7f7818410d30&gt;.exists","['E           AssertionError: assert False', '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_cli.py:71: AssertionError']",,,121,,same
,tests.test_cli.TestInstall,test_preserve_existing,Failed,"AssertionError: assert &#x27;There is an existing pre-commit hook.&#x27; in &#x27;&#x27;
 +  where &#x27;&#x27; = &lt;Result CalledProcessError(1, &#x27;which therapist&#x27;)&gt;.output","[""E           AssertionError: assert 'There is an existing pre-commit hook.' in ''"", ""E            +  where '' = <Result CalledProcessError(1, 'which therapist')>.output"", '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_cli.py:94: AssertionError']",,,121,,same
,tests.test_cli.TestInstall,test_replace_existing,Failed,"AssertionError: assert &#x27;There is an existing pre-commit hook.&#x27; in &#x27;&#x27;
 +  where &#x27;&#x27; = &lt;Result CalledProcessError(1, &#x27;which therapist&#x27;)&gt;.output","[""E           AssertionError: assert 'There is an existing pre-commit hook.' in ''"", ""E            +  where '' = <Result CalledProcessError(1, 'which therapist')>.output"", '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_cli.py:109: AssertionError']",,,121,,same
,tests.test_cli.TestInstall,test_replace_existing_cancel,Failed,"AssertionError: assert &#x27;There is an existing pre-commit hook.&#x27; in &#x27;&#x27;
 +  where &#x27;&#x27; = &lt;Result CalledProcessError(1, &#x27;which therapist&#x27;)&gt;.output","[""E           AssertionError: assert 'There is an existing pre-commit hook.' in ''"", ""E            +  where '' = <Result CalledProcessError(1, 'which therapist')>.output"", '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_cli.py:122: AssertionError']",,,121,,same
,tests.test_cli.TestInstall,test_force_option,Failed,"AssertionError: assert &#x27;Installing pre-commit hook...&#x27; in &#x27;&#x27;
 +  where &#x27;&#x27; = &lt;Result CalledProcessError(1, &#x27;which therapist&#x27;)&gt;.output","[""E           AssertionError: assert 'Installing pre-commit hook...' in ''"", ""E            +  where '' = <Result CalledProcessError(1, 'which therapist')>.output"", '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_cli.py:135: AssertionError']",,,121,,same
,tests.test_cli.TestInstall,test_force_option_preserve_legacy,Failed,"AssertionError: assert &#x27;Copying `pre-commit` to `pre-commit.legacy`...&#x27; in &#x27;&#x27;
 +  where &#x27;&#x27; = &lt;Result CalledProcessError(1, &#x27;which therapist&#x27;)&gt;.output","[""E           AssertionError: assert 'Copying `pre-commit` to `pre-commit.legacy`...' in ''"", ""E            +  where '' = <Result CalledProcessError(1, 'which therapist')>.output"", '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_cli.py:147: AssertionError']",,,121,,same
,tests.test_cli.TestInstall,test_force_already_installed,Failed,"AssertionError: assert False
 +  where False = &lt;bound method Project.exists of &lt;tests.Project object at 0x7f7818480910&gt;&gt;(&#x27;.git/hooks/pre-commit&#x27;)
 +    where &lt;bound method Project.exists of &lt;tests.Project object at 0x7f7818480910&gt;&gt; = &lt;tests.Project object at 0x7f7818480910&gt;.exists","['E           AssertionError: assert False', '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_cli.py:157: AssertionError']",,,121,,same
,tests.test_cli.TestUninstall,test_uninstall,Failed,"AssertionError: assert False
 +  where False = &lt;bound method Project.exists of &lt;tests.Project object at 0x7f7817e2b610&gt;&gt;(&#x27;.git/hooks/pre-commit&#x27;)
 +    where &lt;bound method Project.exists of &lt;tests.Project object at 0x7f7817e2b610&gt;&gt; = &lt;tests.Project object at 0x7f7817e2b610&gt;.exists","['E           AssertionError: assert False', '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_cli.py:169: AssertionError']",,,121,,same
,tests.test_cli.TestUninstall,test_outside_repo,Passed,NO MESSAGE,,,,121,,same
,tests.test_cli.TestUninstall,test_no_hook,Passed,NO MESSAGE,,,,121,,same
,tests.test_cli.TestUninstall,test_cancel,Failed,"AssertionError: assert False
 +  where False = &lt;bound method Project.exists of &lt;tests.Project object at 0x7f7818497760&gt;&gt;(&#x27;.git/hooks/pre-commit&#x27;)
 +    where &lt;bound method Project.exists of &lt;tests.Project object at 0x7f7818497760&gt;&gt; = &lt;tests.Project object at 0x7f7818497760&gt;.exists","['E           AssertionError: assert False', '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_cli.py:195: AssertionError']",,,121,,same
,tests.test_cli.TestUninstall,test_non_therapist_hook,Passed,NO MESSAGE,,,,121,,same
