file,class,name,verdict,message,errors_in_stacktrace,errors_in_system_err,type,num,test_to_be_run,order
,travispy._tests.test_authenticated,test_account,Skipped,TRAVISPY_TEST_SETTINGS environment variable is not set,[],,pytest.skip,117,,same
,travispy._tests.test_authenticated,test_broadcast,Skipped,TRAVISPY_TEST_SETTINGS environment variable is not set,[],,pytest.skip,117,,same
,travispy._tests.test_authenticated,test_build,Skipped,TRAVISPY_TEST_SETTINGS environment variable is not set,[],,pytest.skip,117,,same
,travispy._tests.test_authenticated,test_hook,Skipped,TRAVISPY_TEST_SETTINGS environment variable is not set,[],,pytest.skip,117,,same
,travispy._tests.test_authenticated,test_job,Skipped,TRAVISPY_TEST_SETTINGS environment variable is not set,[],,pytest.skip,117,,same
,travispy._tests.test_authenticated,test_repo,Skipped,TRAVISPY_TEST_SETTINGS environment variable is not set,[],,pytest.skip,117,,same
,travispy._tests.test_authenticated,test_repo_enable_disable,Skipped,TRAVISPY_TEST_SETTINGS environment variable is not set,[],,pytest.skip,117,,same
,travispy._tests.test_authenticated,test_user,Skipped,TRAVISPY_TEST_SETTINGS environment variable is not set,[],,pytest.skip,117,,same
,travispy._tests.test_authenticated,test_setting,Skipped,TRAVISPY_TEST_SETTINGS environment variable is not set,[],,pytest.skip,117,,same
,travispy._tests.test_errors.Tests,test_status_code,Passed,NO MESSAGE,,,,117,,same
,travispy._tests.test_get_response_contents,test_get_response_contents,Passed,NO MESSAGE,,,,117,,same
,travispy._tests.test_not_authenticated,test_github_auth,Failed,"AssertionError: assert &#x27;[405] &lt;!doct...sted URL.&lt;/p&gt;&#x27; == &#x27;[403] not a Travis user&#x27;
  - [403] not a Travis user
  + [405] &lt;!doctype html&gt;
  + &lt;html lang=en&gt;
  + &lt;title&gt;405 Method Not Allowed&lt;/title&gt;
  + &lt;h1&gt;Method Not Allowed&lt;/h1&gt;
  + &lt;p&gt;The method is not allowed for the requested URL.&lt;/p&gt;","['        with pytest.raises(TravisError) as exception_info:', "">       assert str(exception_info.value) == '[403] not a Travis user'"", ""E       AssertionError: assert '[405] <!doct...sted URL.</p>' == '[403] not a Travis user'"", 'travispy/_tests/test_not_authenticated.py:16: AssertionError']",,,117,,same
,travispy._tests.test_not_authenticated,test_branch,Skipped,TRAVISPY_TEST_SETTINGS environment variable is not set,[],,pytest.skip,117,,same
,travispy._tests.test_not_authenticated,test_build,Skipped,TRAVISPY_TEST_SETTINGS environment variable is not set,[],,pytest.skip,117,,same
,travispy._tests.test_not_authenticated,test_commit,Skipped,TRAVISPY_TEST_SETTINGS environment variable is not set,[],,pytest.skip,117,,same
,travispy._tests.test_not_authenticated,test_job,Skipped,TRAVISPY_TEST_SETTINGS environment variable is not set,[],,pytest.skip,117,,same
,travispy._tests.test_not_authenticated,test_job_negative_ids,Failed,travispy.errors.TravisError: [404] Unknown error,"['        :raises TravisError: when return code is different than 200 or an unexpected error happens.', '            error = response.text.strip()', '            if not error:', ""                error = textwrap.dedent('''"", '                    Unexpected error', ""                'error': error,"", '            raise TravisError(contents)', '>           raise TravisError(contents)', 'E           travispy.errors.TravisError: [404] Unknown error', 'travispy/_helpers.py:40: TravisError']",,,117,,same
