file,class,name,verdict,message,errors_in_stacktrace,errors_in_system_err,type,num,test_to_be_run,order
,tests.test_utils.TestStringMethods,test_cloning,Passed,NO MESSAGE,,,,162,,same
,tests.test_utils.TestStringMethods,test_exit_if_invalid_commit,Passed,NO MESSAGE,,,,162,,same
,tests.test_utils.TestStringMethods,test_get_repo_on_empty_git_repo,Failed,FileNotFoundError: [Errno 2] No such file or directory: &#x27;mechtrufflehog&#x27;,"[""                raise TypeError('path-like args is not allowed when '"", '        # Data format: ""exception name:hex errno:description""', '                            raise ValueError(""illegal environment variable name"")', '            # exception (limited in size)', '            except ChildProcessError:', '                exception_name, hex_errno, err_msg = (', '            except ValueError:', ""                exception_name = b'SubprocessError'"", ""                err_msg = 'Bad exception data from child: {!r}'.format("", '            child_exception_type = getattr(', ""                    builtins, exception_name.decode('ascii'),"", '                    SubprocessError)', '            if issubclass(child_exception_type, OSError) and hex_errno:', '                    # The error must be from chdir(cwd).', '                    err_msg = os.strerror(errno_num)', '>               raise child_exception_type(errno_num, err_msg, err_filename)', ""E               FileNotFoundError: [Errno 2] No such file or directory: 'mechtrufflehog'"", '/usr/local/lib/python3.10/subprocess.py:1842: FileNotFoundError']",,,162,,same
,tests.test_utils.TestStringMethods,test_get_repo_on_non_git_repo,Failed,FileNotFoundError: [Errno 2] No such file or directory: &#x27;mechtrufflehog&#x27;,"[""                raise TypeError('path-like args is not allowed when '"", '        # Data format: ""exception name:hex errno:description""', '                            raise ValueError(""illegal environment variable name"")', '            # exception (limited in size)', '            except ChildProcessError:', '                exception_name, hex_errno, err_msg = (', '            except ValueError:', ""                exception_name = b'SubprocessError'"", ""                err_msg = 'Bad exception data from child: {!r}'.format("", '            child_exception_type = getattr(', ""                    builtins, exception_name.decode('ascii'),"", '                    SubprocessError)', '            if issubclass(child_exception_type, OSError) and hex_errno:', '                    # The error must be from chdir(cwd).', '                    err_msg = os.strerror(errno_num)', '>               raise child_exception_type(errno_num, err_msg, err_filename)', ""E               FileNotFoundError: [Errno 2] No such file or directory: 'mechtrufflehog'"", '/usr/local/lib/python3.10/subprocess.py:1842: FileNotFoundError']",,,162,,same
,tests.test_utils.TestStringMethods,test_repo_path,Passed,NO MESSAGE,,,,162,,same
,tests.test_utils.TestStringMethods,test_return_correct_commit,Passed,NO MESSAGE,,,,162,,same
,tests.test_utils.TestStringMethods,test_shannon,Passed,NO MESSAGE,,,,162,,same
,tests.test_utils.TestStringMethods,test_unicode_expection,Passed,NO MESSAGE,,,,162,,same
,tests.test_whitelist.TestStringMethods,test_ScanResults_can_be_instantiated,Passed,NO MESSAGE,,,,162,,same
,tests.test_whitelist.TestStringMethods,test_ScanResults_can_write_to_disk_with_no_results,Passed,NO MESSAGE,,,,162,,same
,tests.test_whitelist.TestStringMethods,test_ScanResults_can_write_to_disk_with_some_acknowledged_results,Passed,NO MESSAGE,,,,162,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistEntry,Passed,NO MESSAGE,,,,162,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistEntry_acknowledged_if_not_uncategoried,Passed,NO MESSAGE,,,,162,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistEntry_with_same_guid_are_equal,Passed,NO MESSAGE,,,,162,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistStatistics_in_console_mode,Passed,NO MESSAGE,,,,162,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistStatistics_test_methods,Passed,NO MESSAGE,,,,162,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistStatisticsin_pipeline_mode,Passed,NO MESSAGE,,,,162,,same
,tests.test_utils.TestStringMethods,test_cloning,Passed,NO MESSAGE,,,,160,,same
,tests.test_utils.TestStringMethods,test_exit_if_invalid_commit,Passed,NO MESSAGE,,,,160,,same
,tests.test_utils.TestStringMethods,test_get_repo_on_empty_git_repo,Failed,FileNotFoundError: [Errno 2] No such file or directory: &#x27;mechtrufflehog&#x27;,"[""                raise TypeError('path-like args is not allowed when '"", '        # Data format: ""exception name:hex errno:description""', '                            raise ValueError(""illegal environment variable name"")', '            # exception (limited in size)', '            except ChildProcessError:', '                exception_name, hex_errno, err_msg = (', '            except ValueError:', ""                exception_name = b'SubprocessError'"", ""                err_msg = 'Bad exception data from child: {!r}'.format("", '            child_exception_type = getattr(', ""                    builtins, exception_name.decode('ascii'),"", '                    SubprocessError)', '            if issubclass(child_exception_type, OSError) and hex_errno:', '                    # The error must be from chdir(cwd).', '                    err_msg = os.strerror(errno_num)', '>               raise child_exception_type(errno_num, err_msg, err_filename)', ""E               FileNotFoundError: [Errno 2] No such file or directory: 'mechtrufflehog'"", '/usr/local/lib/python3.10/subprocess.py:1842: FileNotFoundError']",,,160,,same
,tests.test_utils.TestStringMethods,test_get_repo_on_non_git_repo,Failed,FileNotFoundError: [Errno 2] No such file or directory: &#x27;mechtrufflehog&#x27;,"[""                raise TypeError('path-like args is not allowed when '"", '        # Data format: ""exception name:hex errno:description""', '                            raise ValueError(""illegal environment variable name"")', '            # exception (limited in size)', '            except ChildProcessError:', '                exception_name, hex_errno, err_msg = (', '            except ValueError:', ""                exception_name = b'SubprocessError'"", ""                err_msg = 'Bad exception data from child: {!r}'.format("", '            child_exception_type = getattr(', ""                    builtins, exception_name.decode('ascii'),"", '                    SubprocessError)', '            if issubclass(child_exception_type, OSError) and hex_errno:', '                    # The error must be from chdir(cwd).', '                    err_msg = os.strerror(errno_num)', '>               raise child_exception_type(errno_num, err_msg, err_filename)', ""E               FileNotFoundError: [Errno 2] No such file or directory: 'mechtrufflehog'"", '/usr/local/lib/python3.10/subprocess.py:1842: FileNotFoundError']",,,160,,same
,tests.test_utils.TestStringMethods,test_repo_path,Passed,NO MESSAGE,,,,160,,same
,tests.test_utils.TestStringMethods,test_return_correct_commit,Passed,NO MESSAGE,,,,160,,same
,tests.test_utils.TestStringMethods,test_shannon,Passed,NO MESSAGE,,,,160,,same
,tests.test_utils.TestStringMethods,test_unicode_expection,Passed,NO MESSAGE,,,,160,,same
,tests.test_whitelist.TestStringMethods,test_ScanResults_can_be_instantiated,Passed,NO MESSAGE,,,,160,,same
,tests.test_whitelist.TestStringMethods,test_ScanResults_can_write_to_disk_with_no_results,Passed,NO MESSAGE,,,,160,,same
,tests.test_whitelist.TestStringMethods,test_ScanResults_can_write_to_disk_with_some_acknowledged_results,Passed,NO MESSAGE,,,,160,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistEntry,Passed,NO MESSAGE,,,,160,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistEntry_acknowledged_if_not_uncategoried,Passed,NO MESSAGE,,,,160,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistEntry_with_same_guid_are_equal,Passed,NO MESSAGE,,,,160,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistStatistics_in_console_mode,Passed,NO MESSAGE,,,,160,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistStatistics_test_methods,Passed,NO MESSAGE,,,,160,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistStatisticsin_pipeline_mode,Passed,NO MESSAGE,,,,160,,same
,tests.test_utils.TestStringMethods,test_cloning,Passed,NO MESSAGE,,,,75,,same
,tests.test_utils.TestStringMethods,test_exit_if_invalid_commit,Passed,NO MESSAGE,,,,75,,same
,tests.test_utils.TestStringMethods,test_get_repo_on_empty_git_repo,Failed,FileNotFoundError: [Errno 2] No such file or directory: &#x27;mechtrufflehog&#x27;,"[""                raise TypeError('path-like args is not allowed when '"", '        # Data format: ""exception name:hex errno:description""', '                            raise ValueError(""illegal environment variable name"")', '            # exception (limited in size)', '            except ChildProcessError:', '                exception_name, hex_errno, err_msg = (', '            except ValueError:', ""                exception_name = b'SubprocessError'"", ""                err_msg = 'Bad exception data from child: {!r}'.format("", '            child_exception_type = getattr(', ""                    builtins, exception_name.decode('ascii'),"", '                    SubprocessError)', '            if issubclass(child_exception_type, OSError) and hex_errno:', '                    # The error must be from chdir(cwd).', '                    err_msg = os.strerror(errno_num)', '>               raise child_exception_type(errno_num, err_msg, err_filename)', ""E               FileNotFoundError: [Errno 2] No such file or directory: 'mechtrufflehog'"", '/usr/local/lib/python3.10/subprocess.py:1842: FileNotFoundError']",,,75,,same
,tests.test_utils.TestStringMethods,test_get_repo_on_non_git_repo,Failed,FileNotFoundError: [Errno 2] No such file or directory: &#x27;mechtrufflehog&#x27;,"[""                raise TypeError('path-like args is not allowed when '"", '        # Data format: ""exception name:hex errno:description""', '                            raise ValueError(""illegal environment variable name"")', '            # exception (limited in size)', '            except ChildProcessError:', '                exception_name, hex_errno, err_msg = (', '            except ValueError:', ""                exception_name = b'SubprocessError'"", ""                err_msg = 'Bad exception data from child: {!r}'.format("", '            child_exception_type = getattr(', ""                    builtins, exception_name.decode('ascii'),"", '                    SubprocessError)', '            if issubclass(child_exception_type, OSError) and hex_errno:', '                    # The error must be from chdir(cwd).', '                    err_msg = os.strerror(errno_num)', '>               raise child_exception_type(errno_num, err_msg, err_filename)', ""E               FileNotFoundError: [Errno 2] No such file or directory: 'mechtrufflehog'"", '/usr/local/lib/python3.10/subprocess.py:1842: FileNotFoundError']",,,75,,same
,tests.test_utils.TestStringMethods,test_repo_path,Passed,NO MESSAGE,,,,75,,same
,tests.test_utils.TestStringMethods,test_return_correct_commit,Passed,NO MESSAGE,,,,75,,same
,tests.test_utils.TestStringMethods,test_shannon,Passed,NO MESSAGE,,,,75,,same
,tests.test_utils.TestStringMethods,test_unicode_expection,Passed,NO MESSAGE,,,,75,,same
,tests.test_whitelist.TestStringMethods,test_ScanResults_can_be_instantiated,Passed,NO MESSAGE,,,,75,,same
,tests.test_whitelist.TestStringMethods,test_ScanResults_can_write_to_disk_with_no_results,Passed,NO MESSAGE,,,,75,,same
,tests.test_whitelist.TestStringMethods,test_ScanResults_can_write_to_disk_with_some_acknowledged_results,Passed,NO MESSAGE,,,,75,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistEntry,Passed,NO MESSAGE,,,,75,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistEntry_acknowledged_if_not_uncategoried,Passed,NO MESSAGE,,,,75,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistEntry_with_same_guid_are_equal,Passed,NO MESSAGE,,,,75,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistStatistics_in_console_mode,Passed,NO MESSAGE,,,,75,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistStatistics_test_methods,Passed,NO MESSAGE,,,,75,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistStatisticsin_pipeline_mode,Passed,NO MESSAGE,,,,75,,same
,tests.test_utils.TestStringMethods,test_cloning,Passed,NO MESSAGE,,,,117,,same
,tests.test_utils.TestStringMethods,test_exit_if_invalid_commit,Passed,NO MESSAGE,,,,117,,same
,tests.test_utils.TestStringMethods,test_get_repo_on_empty_git_repo,Failed,FileNotFoundError: [Errno 2] No such file or directory: &#x27;mechtrufflehog&#x27;,"[""                raise TypeError('path-like args is not allowed when '"", '        # Data format: ""exception name:hex errno:description""', '                            raise ValueError(""illegal environment variable name"")', '            # exception (limited in size)', '            except ChildProcessError:', '                exception_name, hex_errno, err_msg = (', '            except ValueError:', ""                exception_name = b'SubprocessError'"", ""                err_msg = 'Bad exception data from child: {!r}'.format("", '            child_exception_type = getattr(', ""                    builtins, exception_name.decode('ascii'),"", '                    SubprocessError)', '            if issubclass(child_exception_type, OSError) and hex_errno:', '                    # The error must be from chdir(cwd).', '                    err_msg = os.strerror(errno_num)', '>               raise child_exception_type(errno_num, err_msg, err_filename)', ""E               FileNotFoundError: [Errno 2] No such file or directory: 'mechtrufflehog'"", '/usr/local/lib/python3.10/subprocess.py:1842: FileNotFoundError']",,,117,,same
,tests.test_utils.TestStringMethods,test_get_repo_on_non_git_repo,Failed,FileNotFoundError: [Errno 2] No such file or directory: &#x27;mechtrufflehog&#x27;,"[""                raise TypeError('path-like args is not allowed when '"", '        # Data format: ""exception name:hex errno:description""', '                            raise ValueError(""illegal environment variable name"")', '            # exception (limited in size)', '            except ChildProcessError:', '                exception_name, hex_errno, err_msg = (', '            except ValueError:', ""                exception_name = b'SubprocessError'"", ""                err_msg = 'Bad exception data from child: {!r}'.format("", '            child_exception_type = getattr(', ""                    builtins, exception_name.decode('ascii'),"", '                    SubprocessError)', '            if issubclass(child_exception_type, OSError) and hex_errno:', '                    # The error must be from chdir(cwd).', '                    err_msg = os.strerror(errno_num)', '>               raise child_exception_type(errno_num, err_msg, err_filename)', ""E               FileNotFoundError: [Errno 2] No such file or directory: 'mechtrufflehog'"", '/usr/local/lib/python3.10/subprocess.py:1842: FileNotFoundError']",,,117,,same
,tests.test_utils.TestStringMethods,test_repo_path,Passed,NO MESSAGE,,,,117,,same
,tests.test_utils.TestStringMethods,test_return_correct_commit,Passed,NO MESSAGE,,,,117,,same
,tests.test_utils.TestStringMethods,test_shannon,Passed,NO MESSAGE,,,,117,,same
,tests.test_utils.TestStringMethods,test_unicode_expection,Passed,NO MESSAGE,,,,117,,same
,tests.test_whitelist.TestStringMethods,test_ScanResults_can_be_instantiated,Passed,NO MESSAGE,,,,117,,same
,tests.test_whitelist.TestStringMethods,test_ScanResults_can_write_to_disk_with_no_results,Passed,NO MESSAGE,,,,117,,same
,tests.test_whitelist.TestStringMethods,test_ScanResults_can_write_to_disk_with_some_acknowledged_results,Passed,NO MESSAGE,,,,117,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistEntry,Passed,NO MESSAGE,,,,117,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistEntry_acknowledged_if_not_uncategoried,Passed,NO MESSAGE,,,,117,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistEntry_with_same_guid_are_equal,Passed,NO MESSAGE,,,,117,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistStatistics_in_console_mode,Passed,NO MESSAGE,,,,117,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistStatistics_test_methods,Passed,NO MESSAGE,,,,117,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistStatisticsin_pipeline_mode,Passed,NO MESSAGE,,,,117,,same
,tests.test_utils.TestStringMethods,test_cloning,Passed,NO MESSAGE,,,,41,,same
,tests.test_utils.TestStringMethods,test_exit_if_invalid_commit,Passed,NO MESSAGE,,,,41,,same
,tests.test_utils.TestStringMethods,test_get_repo_on_empty_git_repo,Failed,FileNotFoundError: [Errno 2] No such file or directory: &#x27;mechtrufflehog&#x27;,"[""                raise TypeError('path-like args is not allowed when '"", '        # Data format: ""exception name:hex errno:description""', '                            raise ValueError(""illegal environment variable name"")', '            # exception (limited in size)', '            except ChildProcessError:', '                exception_name, hex_errno, err_msg = (', '            except ValueError:', ""                exception_name = b'SubprocessError'"", ""                err_msg = 'Bad exception data from child: {!r}'.format("", '            child_exception_type = getattr(', ""                    builtins, exception_name.decode('ascii'),"", '                    SubprocessError)', '            if issubclass(child_exception_type, OSError) and hex_errno:', '                    # The error must be from chdir(cwd).', '                    err_msg = os.strerror(errno_num)', '>               raise child_exception_type(errno_num, err_msg, err_filename)', ""E               FileNotFoundError: [Errno 2] No such file or directory: 'mechtrufflehog'"", '/usr/local/lib/python3.10/subprocess.py:1842: FileNotFoundError']",,,41,,same
,tests.test_utils.TestStringMethods,test_get_repo_on_non_git_repo,Failed,FileNotFoundError: [Errno 2] No such file or directory: &#x27;mechtrufflehog&#x27;,"[""                raise TypeError('path-like args is not allowed when '"", '        # Data format: ""exception name:hex errno:description""', '                            raise ValueError(""illegal environment variable name"")', '            # exception (limited in size)', '            except ChildProcessError:', '                exception_name, hex_errno, err_msg = (', '            except ValueError:', ""                exception_name = b'SubprocessError'"", ""                err_msg = 'Bad exception data from child: {!r}'.format("", '            child_exception_type = getattr(', ""                    builtins, exception_name.decode('ascii'),"", '                    SubprocessError)', '            if issubclass(child_exception_type, OSError) and hex_errno:', '                    # The error must be from chdir(cwd).', '                    err_msg = os.strerror(errno_num)', '>               raise child_exception_type(errno_num, err_msg, err_filename)', ""E               FileNotFoundError: [Errno 2] No such file or directory: 'mechtrufflehog'"", '/usr/local/lib/python3.10/subprocess.py:1842: FileNotFoundError']",,,41,,same
,tests.test_utils.TestStringMethods,test_repo_path,Passed,NO MESSAGE,,,,41,,same
,tests.test_utils.TestStringMethods,test_return_correct_commit,Passed,NO MESSAGE,,,,41,,same
,tests.test_utils.TestStringMethods,test_shannon,Passed,NO MESSAGE,,,,41,,same
,tests.test_utils.TestStringMethods,test_unicode_expection,Passed,NO MESSAGE,,,,41,,same
,tests.test_whitelist.TestStringMethods,test_ScanResults_can_be_instantiated,Passed,NO MESSAGE,,,,41,,same
,tests.test_whitelist.TestStringMethods,test_ScanResults_can_write_to_disk_with_no_results,Passed,NO MESSAGE,,,,41,,same
,tests.test_whitelist.TestStringMethods,test_ScanResults_can_write_to_disk_with_some_acknowledged_results,Passed,NO MESSAGE,,,,41,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistEntry,Passed,NO MESSAGE,,,,41,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistEntry_acknowledged_if_not_uncategoried,Passed,NO MESSAGE,,,,41,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistEntry_with_same_guid_are_equal,Passed,NO MESSAGE,,,,41,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistStatistics_in_console_mode,Passed,NO MESSAGE,,,,41,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistStatistics_test_methods,Passed,NO MESSAGE,,,,41,,same
,tests.test_whitelist.TestStringMethods,test_WhitelistStatisticsin_pipeline_mode,Passed,NO MESSAGE,,,,41,,same
,tests.test_utils.TestStringMethods,test_cloning,Passed,NO MESSAGE,,,,50,,same
,tests.test_utils.TestStringMethods,test_exit_if_invalid_commit,Passed,NO MESSAGE,,,,50,,same
,tests.test_utils.TestStringMethods,test_get_repo_on_empty_git_repo,Failed,FileNotFoundError: [Errno 2] No such file or directory: &#x27;mechtrufflehog&#x27;,"[""                raise TypeError('path-like args is not allowed when '"", '        # Data format: ""exception name:hex errno:description""', '                            raise ValueError(""illegal environment variable name"")', '            # exception (limited in size)', '            except ChildProcessError:', '                exception_name, hex_errno, err_msg = (', '            except ValueError:', ""                exception_name = b'SubprocessError'"", ""                err_msg = 'Bad exception data from child: {!r}'.format("", '            child_exception_type = getattr(', ""                    builtins, exception_name.decode('ascii'),"", '                    SubprocessError)', '            if issubclass(child_exception_type, OSError) and hex_errno:', '                    # The error must be from chdir(cwd).', '                    err_msg = os.strerror(errno_num)', '>               raise child_exception_type(errno_num, err_msg, err_filename)', ""E               FileNotFoundError: [Errno 2] No such file or directory: 'mechtrufflehog'"", '/usr/local/lib/python3.10/subprocess.py:1842: FileNotFoundError']",,,50,,same
,tests.test_utils.TestStringMethods,test_get_repo_on_non_git_repo,Failed,FileNotFoundError: [Errno 2] No such file or directory: &#x27;mechtrufflehog&#x27;,"[""                raise TypeError('path-like args is not allowed when '"", '        # Data format: ""exception name:hex errno:description""', '                            raise ValueError(""illegal environment variable name"")', '            # exception (limited in size)', '            except ChildProcessError:', '                exception_name, hex_errno, err_msg = (', '            except ValueError:', ""                exception_name = b'SubprocessError'"", ""                err_msg = 'Bad exception data from child: {!r}'.format("", '            child_exception_type = getattr(', ""                    builtins, exception_name.decode('ascii'),"", '                    SubprocessError)', '            if issubclass(child_exception_type, OSError) and hex_errno:', '                    # The error must be from chdir(cwd).', '                    err_msg = os.strerror(errno_num)', '>               raise child_exception_type(errno_num, err_msg, err_filename)', ""E               FileNotFoundError: [Errno 2] No such file or directory: 'mechtrufflehog'"", '/usr/local/lib/python3.10/subprocess.py:1842: FileNotFoundError']",,,50,,same
,tests.test_utils.TestStringMethods,test_repo_path,Passed,NO MESSAGE,,,,50,,same
,tests.test_utils.TestStringMethods,test_return_correct_commit,Passed,NO MESSAGE,,,,50,,same
,tests.test_utils.TestStringMethods,test_shannon,Passed,NO MESSAGE,,,,50,,same
,tests.test_utils.TestStringMethods,test_unicode_expection,Passed,NO MESSAGE,,,,50,,same
,tests.test_whitelist.TestStringMethods,test_ScanResults_can_be_instantiated,Passed,NO MESSAGE,,,,50,,same
,tests.test_whitelist.TestStringMethods,test_ScanResults_can_write_to_disk_with_no_results,Passed,NO MESSAGE,,,,50,,same
