file,class,name,verdict,message,errors_in_stacktrace,errors_in_system_err,type,num,test_to_be_run,order
,verif.tests.aggregator_test.TestAggregator,test_equal,Passed,NO MESSAGE,,,,19,,same
,verif.tests.aggregator_test.TestAggregator,test_name,Passed,NO MESSAGE,,,,19,,same
,verif.tests.aggregator_test.TestAggregator,test_simple,Passed,NO MESSAGE,,,,19,,same
,verif.tests.aggregator_test.TestAggregator,test_unequal,Passed,NO MESSAGE,,,,19,,same
,verif.tests.axis_test.TestAxis,test_equal,Passed,NO MESSAGE,,,,19,,same
,verif.tests.axis_test.TestAxis,test_unequal,Passed,NO MESSAGE,,,,19,,same
,verif.tests.data_test.TestData,test_dayofyear,Passed,NO MESSAGE,,,,19,,same
,verif.tests.data_test.TestData,test_doesnotexist,Passed,NO MESSAGE,,,,19,,same
,verif.tests.data_test.TestData,test_latrange,Passed,NO MESSAGE,,,,19,,same
,verif.tests.data_test.TestData,test_latrange_locations,Passed,NO MESSAGE,,,,19,,same
,verif.tests.data_test.TestData,test_lonrange_locations,Passed,NO MESSAGE,,,,19,,same
,verif.tests.data_test.TestData,test_obsrange,Passed,NO MESSAGE,,,,19,,same
,verif.tests.data_test.TestData,test_simple,Passed,NO MESSAGE,,,,19,,same
,verif.tests.data_test.TestRepeated,test_repeated_leadtimes,Passed,NO MESSAGE,,,,19,,same
,verif.tests.data_test.TestRepeated,test_repeated_locations,Passed,NO MESSAGE,,,,19,,same
,verif.tests.data_test.TestRepeated,test_repeated_times,Passed,NO MESSAGE,,,,19,,same
,verif.tests.data_test.TestRepeated,test_repeated_times_two_files,Passed,NO MESSAGE,,,,19,,same
,verif.tests.data_test.TestDataRemovingLocations,test_inside_lat_range,Passed,NO MESSAGE,,,,19,,same
,verif.tests.data_test.TestDataRemovingLocations,test_outside_lat_range,Passed,NO MESSAGE,,,,19,,same
,verif.tests.data_test.TestDataRemovingLocations,test_with_l1,Passed,NO MESSAGE,,,,19,,same
,verif.tests.data_test.TestDataRemovingLocations,test_with_l2,Passed,NO MESSAGE,,,,19,,same
,verif.tests.data_test.TestDataRemovingTimes1,test_dates,Passed,NO MESSAGE,,,,19,,same
,verif.tests.data_test.TestDataRemovingTimes1,test_times,Passed,NO MESSAGE,,,,19,,same
,verif.tests.data_test.TestDataRemovingTimes4,test_dates,Passed,NO MESSAGE,,,,19,,same
,verif.tests.data_test.TestDataRemovingTimes4,test_timeofday,Passed,NO MESSAGE,,,,19,,same
,verif.tests.data_test.TestDataRemovingTimes4,test_times,Passed,NO MESSAGE,,,,19,,same
,verif.tests.data_test.TestDataRemovingTimes4,test_times_dates,Passed,NO MESSAGE,,,,19,,same
,verif.tests.data_test.TestDataRemovingTimes4,test_times_dates_timeofday,Passed,NO MESSAGE,,,,19,,same
,verif.tests.data_test.TestShareObs,test_different_missing,Passed,NO MESSAGE,,,,19,,same
,verif.tests.data_test.TestShareObs,test_reused,Passed,NO MESSAGE,,,,19,,same
,verif.tests.data_test.TestDataClim,test_names,Passed,NO MESSAGE,,,,19,,same
,verif.tests.data_test.TestDataFields,test_get_fields1,Passed,NO MESSAGE,,,,19,,same
,verif.tests.data_test.TestDataFields,test_get_fields2,Passed,NO MESSAGE,,,,19,,same
,verif.tests.data_test.TestDataFields,test_get_fields3,Passed,NO MESSAGE,,,,19,,same
,verif.tests.data_test.TestDataNanTime,test,Passed,NO MESSAGE,,,,19,,same
,verif.tests.field_test.TestField,test_equal,Passed,NO MESSAGE,,,,19,,same
,verif.tests.field_test.TestField,test_unequal,Passed,NO MESSAGE,,,,19,,same
,verif.tests.input_comps_test.MyTest,test_comps_to_verif_quantile,Passed,NO MESSAGE,,,,19,,same
,verif.tests.input_comps_test.MyTest,test_comps_to_verif_threshold,Failed,"ValueError: Calling nonzero on 0d arrays is not allowed. Use np.atleast_1d(scalar).nonzero() instead. If the context of this error is of the form `arr[nonzero(cond)]`, just use `arr[cond]`.","['E           ValueError: Calling nonzero on 0d arrays is not allowed. Use np.atleast_1d(scalar).nonzero() instead. If the context of this error is of the form `arr[nonzero(cond)]`, just use `arr[cond]`.', 'verif/input.py:739: ValueError']",,,19,,same
,verif.tests.input_comps_test.MyTest,test_invalid,Passed,NO MESSAGE,,,,19,,same
,verif.tests.input_comps_test.MyTest,test_valid,Passed,NO MESSAGE,,,,19,,same
,verif.tests.input_comps_test.MyTest,test_verif_to_comps_quantile,Passed,NO MESSAGE,,,,19,,same
,verif.tests.input_comps_test.MyTest,test_verif_to_comps_threshold,Passed,NO MESSAGE,,,,19,,same
,verif.tests.input_netcdf_test.InputNetcdfTest,test_invalid,Passed,NO MESSAGE,,,,19,,same
,verif.tests.input_netcdf_test.InputNetcdfTest,test_is_valid,Passed,NO MESSAGE,,,,19,,same
,verif.tests.input_netcdf_test.InputNetcdfTest,test_valid2,Passed,NO MESSAGE,,,,19,,same
,verif.tests.input_text_test.InputTextTest,test_attributes,Passed,NO MESSAGE,,,,19,,same
,verif.tests.input_text_test.InputTextTest,test_compatibility,Passed,NO MESSAGE,,,,19,,same
,verif.tests.input_text_test.InputTextTest,test_conflictingLocations,Passed,NO MESSAGE,,,,19,,same
,verif.tests.input_text_test.InputTextTest,test_get_leadtimes,Passed,NO MESSAGE,,,,19,,same
,verif.tests.input_text_test.InputTextTest,test_get_locations,Passed,NO MESSAGE,,,,19,,same
,verif.tests.input_text_test.InputTextTest,test_get_locations_no_id,Passed,NO MESSAGE,,,,19,,same
,verif.tests.input_text_test.InputTextTest,test_get_locations_same_lat_lon,Passed,NO MESSAGE,,,,19,,same
