file,class,name,verdict,message,errors_in_stacktrace,errors_in_system_err,type,num,test_to_be_run,order
,,tests.test_place,Error,collection failure,"['    response = self.parent.error(', '/usr/local/lib/python3.10/urllib/request.py:563: in error', '/usr/local/lib/python3.10/urllib/request.py:643: in http_error_default', '    raise HTTPError(req.full_url, code, msg, hdrs, fp)', 'E   urllib.error.HTTPError: HTTP Error 403: Forbidden']",,,95,,same
,,tests.test_place,Error,collection failure,"['    response = self.parent.error(', '/usr/local/lib/python3.10/urllib/request.py:563: in error', '/usr/local/lib/python3.10/urllib/request.py:643: in http_error_default', '    raise HTTPError(req.full_url, code, msg, hdrs, fp)', 'E   urllib.error.HTTPError: HTTP Error 403: Forbidden']",,,191,,same
,,tests.test_place,Error,collection failure,"['    response = self.parent.error(', '/usr/local/lib/python3.10/urllib/request.py:563: in error', '/usr/local/lib/python3.10/urllib/request.py:643: in http_error_default', '    raise HTTPError(req.full_url, code, msg, hdrs, fp)', 'E   urllib.error.HTTPError: HTTP Error 403: Forbidden']",,,87,,same
,,tests.test_place,Error,collection failure,"['    response = self.parent.error(', '/usr/local/lib/python3.10/urllib/request.py:563: in error', '/usr/local/lib/python3.10/urllib/request.py:643: in http_error_default', '    raise HTTPError(req.full_url, code, msg, hdrs, fp)', 'E   urllib.error.HTTPError: HTTP Error 403: Forbidden']",,,139,,same
,,tests.test_place,Error,collection failure,"['    response = self.parent.error(', '/usr/local/lib/python3.10/urllib/request.py:563: in error', '/usr/local/lib/python3.10/urllib/request.py:643: in http_error_default', '    raise HTTPError(req.full_url, code, msg, hdrs, fp)', 'E   urllib.error.HTTPError: HTTP Error 403: Forbidden']",,,136,,same
,,tests.test_place,Error,collection failure,"['    response = self.parent.error(', '/usr/local/lib/python3.10/urllib/request.py:563: in error', '/usr/local/lib/python3.10/urllib/request.py:643: in http_error_default', '    raise HTTPError(req.full_url, code, msg, hdrs, fp)', 'E   urllib.error.HTTPError: HTTP Error 403: Forbidden']",,,44,,same
,,tests.test_place,Error,collection failure,"['    response = self.parent.error(', '/usr/local/lib/python3.10/urllib/request.py:563: in error', '/usr/local/lib/python3.10/urllib/request.py:643: in http_error_default', '    raise HTTPError(req.full_url, code, msg, hdrs, fp)', 'E   urllib.error.HTTPError: HTTP Error 403: Forbidden']",,,172,,same
,,tests.test_place,Error,collection failure,"['    response = self.parent.error(', '/usr/local/lib/python3.10/urllib/request.py:563: in error', '/usr/local/lib/python3.10/urllib/request.py:643: in http_error_default', '    raise HTTPError(req.full_url, code, msg, hdrs, fp)', 'E   urllib.error.HTTPError: HTTP Error 403: Forbidden']",,,20,,same
,,tests.test_place,Error,collection failure,"['    response = self.parent.error(', '/usr/local/lib/python3.10/urllib/request.py:563: in error', '/usr/local/lib/python3.10/urllib/request.py:643: in http_error_default', '    raise HTTPError(req.full_url, code, msg, hdrs, fp)', 'E   urllib.error.HTTPError: HTTP Error 403: Forbidden']",,,175,,same
,,tests.test_place,Error,collection failure,"['    response = self.parent.error(', '/usr/local/lib/python3.10/urllib/request.py:563: in error', '/usr/local/lib/python3.10/urllib/request.py:643: in http_error_default', '    raise HTTPError(req.full_url, code, msg, hdrs, fp)', 'E   urllib.error.HTTPError: HTTP Error 403: Forbidden']",,,41,,same
