file,class,name,verdict,message,errors_in_stacktrace,errors_in_system_err,type,num,test_to_be_run,order
,,test_wikilinks,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/test_wikilinks.py'."", ""E   ModuleNotFoundError: No module named 'six'""]",,,21,,same
,,test_wikilinks,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/test_wikilinks.py'."", ""E   ModuleNotFoundError: No module named 'six'""]",,,108,,same
,,test_wikilinks,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/test_wikilinks.py'."", ""E   ModuleNotFoundError: No module named 'six'""]",,,129,,same
,,test_wikilinks,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/test_wikilinks.py'."", ""E   ModuleNotFoundError: No module named 'six'""]",,,22,,same
,,test_wikilinks,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/test_wikilinks.py'."", ""E   ModuleNotFoundError: No module named 'six'""]",,,30,,same
,,test_wikilinks,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/test_wikilinks.py'."", ""E   ModuleNotFoundError: No module named 'six'""]",,,179,,same
,,test_wikilinks,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/test_wikilinks.py'."", ""E   ModuleNotFoundError: No module named 'six'""]",,,139,,same
,,test_wikilinks,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/test_wikilinks.py'."", ""E   ModuleNotFoundError: No module named 'six'""]",,,171,,same
,,test_wikilinks,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/test_wikilinks.py'."", ""E   ModuleNotFoundError: No module named 'six'""]",,,66,,same
,,test_wikilinks,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/test_wikilinks.py'."", ""E   ModuleNotFoundError: No module named 'six'""]",,,154,,same
,,test_wikilinks,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/test_wikilinks.py'."", ""E   ModuleNotFoundError: No module named 'six'""]",,,34,,same
,,test_wikilinks,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/test_wikilinks.py'."", ""E   ModuleNotFoundError: No module named 'six'""]",,,58,,same
,,test_wikilinks,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/test_wikilinks.py'."", ""E   ModuleNotFoundError: No module named 'six'""]",,,86,,same
,,test_wikilinks,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/test_wikilinks.py'."", ""E   ModuleNotFoundError: No module named 'six'""]",,,91,,same
