file,class,name,verdict,message,errors_in_stacktrace,errors_in_system_err,type,num,test_to_be_run,order
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,157,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,28,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,158,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,21,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,128,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,108,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,78,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,2,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,58,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,45,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,63,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,59,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,117,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,15,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,138,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,159,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,99,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,36,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,135,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,76,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,30,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,131,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,144,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,56,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,18,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,156,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,0,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,87,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,86,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,104,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,105,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,41,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,121,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,129,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,37,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,98,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,73,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,112,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,27,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,67,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,55,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,147,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,79,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,109,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,150,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,51,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,34,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,40,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,71,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,154,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,133,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,118,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,82,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,57,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,4,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,97,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,139,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,91,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,49,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,107,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,124,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,116,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,134,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,148,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,92,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,32,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,111,,same
,,,Error,collection failure,"['    raise AttributeError(', 'E   AttributeError: `np.deprecate` was removed in the NumPy 2.0 release. Emit `DeprecationWarning` with `warnings.warn` directly, or use `typing.deprecated`.']",,,123,,same
