file,class,name,verdict,message,errors_in_stacktrace,errors_in_system_err,type,num,test_to_be_run,order
,,yunomi.tests.test_EWMA,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,52,,same
,,yunomi.tests.test_counter,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,52,,same
,,yunomi.tests.test_exp_decay_sample_test,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,52,,same
,,yunomi.tests.test_histogram,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,52,,same
,,yunomi.tests.test_meter,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,52,,same
,,yunomi.tests.test_metrics_registry,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,52,,same
,,yunomi.tests.test_snapshot,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,52,,same
,,yunomi.tests.test_timer,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,52,,same
,,yunomi.tests.test_uniform_sample,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,52,,same
,,yunomi.tests.test_EWMA,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,44,,same
,,yunomi.tests.test_counter,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,44,,same
,,yunomi.tests.test_exp_decay_sample_test,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,44,,same
,,yunomi.tests.test_histogram,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,44,,same
,,yunomi.tests.test_meter,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,44,,same
,,yunomi.tests.test_metrics_registry,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,44,,same
,,yunomi.tests.test_snapshot,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,44,,same
,,yunomi.tests.test_timer,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,44,,same
,,yunomi.tests.test_uniform_sample,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,44,,same
,,yunomi.tests.test_EWMA,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,115,,same
,,yunomi.tests.test_counter,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,115,,same
,,yunomi.tests.test_exp_decay_sample_test,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,115,,same
,,yunomi.tests.test_histogram,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,115,,same
,,yunomi.tests.test_meter,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,115,,same
,,yunomi.tests.test_metrics_registry,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,115,,same
,,yunomi.tests.test_snapshot,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,115,,same
,,yunomi.tests.test_timer,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,115,,same
,,yunomi.tests.test_uniform_sample,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,115,,same
,,yunomi.tests.test_EWMA,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,105,,same
,,yunomi.tests.test_counter,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,105,,same
,,yunomi.tests.test_exp_decay_sample_test,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,105,,same
,,yunomi.tests.test_histogram,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,105,,same
,,yunomi.tests.test_meter,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,105,,same
,,yunomi.tests.test_metrics_registry,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,105,,same
,,yunomi.tests.test_snapshot,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,105,,same
,,yunomi.tests.test_timer,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,105,,same
,,yunomi.tests.test_uniform_sample,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,105,,same
,,yunomi.tests.test_EWMA,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,63,,same
,,yunomi.tests.test_counter,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,63,,same
,,yunomi.tests.test_exp_decay_sample_test,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,63,,same
,,yunomi.tests.test_histogram,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,63,,same
,,yunomi.tests.test_meter,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,63,,same
,,yunomi.tests.test_metrics_registry,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,63,,same
,,yunomi.tests.test_snapshot,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,63,,same
,,yunomi.tests.test_timer,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,63,,same
,,yunomi.tests.test_uniform_sample,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,63,,same
,,yunomi.tests.test_EWMA,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,19,,same
,,yunomi.tests.test_counter,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,19,,same
,,yunomi.tests.test_exp_decay_sample_test,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,19,,same
,,yunomi.tests.test_histogram,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,19,,same
,,yunomi.tests.test_meter,Error,collection failure,"[""E   AttributeError: module 'collections' has no attribute 'MutableMapping'""]",,,19,,same
