,Project_Name,Project_URL,Project_Hash,Test_filename,Test_classname,Test_name,Test_parametrization,flaky?,Verdicts_sameOrder,Passed_sameOrder,Failed_sameOrder,Error_sameOrder,Skipped_sameOrder,numRuns_sameOrder,Verdicts_randomOrder,Passed_randomOrder,Failed_randomOrder,Error_randomOrder,Skipped_randomOrder,numRuns_randomOrder,Flaky_sameOrder_withinIteration,Flaky_randomOrder_withinIteration,Verdict_sameOrder,Verdict_randomOrder,Order-dependent,Flaky_Infrastructure,Test_nodeid,Test_nodeid_inclPara
0,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_converter.TestConverter,test_dictionaly_converter,,not flaky,{'Passed'},180,0,0,0,180.0,set(),0,0,0,0,0.0,False,False,Passed,ZeroRuns,False,False,tests/test_converter.py::TestConverter::test_dictionaly_converter,tests/test_converter.py::TestConverter::test_dictionaly_converter
1,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_converter.TestConverter,test_onehot_converter,,not flaky,{'Passed'},180,0,0,0,180.0,set(),0,0,0,0,0.0,False,False,Passed,ZeroRuns,False,False,tests/test_converter.py::TestConverter::test_onehot_converter,tests/test_converter.py::TestConverter::test_onehot_converter
2,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_converter.TestConverter,test_vocabulary_converter,,not flaky,{'Failed'},0,180,0,0,180.0,set(),0,0,0,0,0.0,False,False,Failed,ZeroRuns,False,False,tests/test_converter.py::TestConverter::test_vocabulary_converter,tests/test_converter.py::TestConverter::test_vocabulary_converter
3,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_customer_review.TestCustomerReview,test_download,,not flaky,{'Passed'},180,0,0,0,180.0,set(),0,0,0,0,0.0,False,False,Passed,ZeroRuns,False,False,tests/test_customer_review.py::TestCustomerReview::test_download,tests/test_customer_review.py::TestCustomerReview::test_download
4,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_customer_review.TestCustomerReview,test_prepare_additional9,,not flaky,{'Passed'},180,0,0,0,180.0,set(),0,0,0,0,0.0,False,False,Passed,ZeroRuns,False,False,tests/test_customer_review.py::TestCustomerReview::test_prepare_additional9,tests/test_customer_review.py::TestCustomerReview::test_prepare_additional9
5,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_customer_review.TestCustomerReview,test_prepare_more3,,not flaky,{'Passed'},180,0,0,0,180.0,set(),0,0,0,0,0.0,False,False,Passed,ZeroRuns,False,False,tests/test_customer_review.py::TestCustomerReview::test_prepare_more3,tests/test_customer_review.py::TestCustomerReview::test_prepare_more3
6,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_customer_review.TestCustomerReview,test_prepare_products5,,not flaky,{'Passed'},180,0,0,0,180.0,set(),0,0,0,0,0.0,False,False,Passed,ZeroRuns,False,False,tests/test_customer_review.py::TestCustomerReview::test_prepare_products5,tests/test_customer_review.py::TestCustomerReview::test_prepare_products5
7,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_customer_review.TestCustomerReview,test_review_sentence,,not flaky,{'Passed'},180,0,0,0,180.0,set(),0,0,0,0,0.0,False,False,Passed,ZeroRuns,False,False,tests/test_customer_review.py::TestCustomerReview::test_review_sentence,tests/test_customer_review.py::TestCustomerReview::test_review_sentence
8,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_dataset.TestDataset,test_download,,not flaky,{'Failed'},0,180,0,0,180.0,set(),0,0,0,0,0.0,False,False,Failed,ZeroRuns,False,False,tests/test_dataset.py::TestDataset::test_download,tests/test_dataset.py::TestDataset::test_download
9,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_dataset.TestDataset,test_extract_file_tar_gz,,not flaky,{'Failed'},0,180,0,0,180.0,set(),0,0,0,0,0.0,False,False,Failed,ZeroRuns,False,False,tests/test_dataset.py::TestDataset::test_extract_file_tar_gz,tests/test_dataset.py::TestDataset::test_extract_file_tar_gz
10,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_dataset.TestDataset,test_extract_file_zip,,not flaky,{'Failed'},0,180,0,0,180.0,set(),0,0,0,0,0.0,False,False,Failed,ZeroRuns,False,False,tests/test_dataset.py::TestDataset::test_extract_file_zip,tests/test_dataset.py::TestDataset::test_extract_file_zip
11,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_dataset.TestDataset,test_label_by_dir,,not flaky,{'Passed'},180,0,0,0,180.0,set(),0,0,0,0,0.0,False,False,Passed,ZeroRuns,False,False,tests/test_dataset.py::TestDataset::test_label_by_dir,tests/test_dataset.py::TestDataset::test_label_by_dir
